"Data","Zamkniecie","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"18.02.2021","68,63","69,10","69,47","68,43","1,02M","-0,61%"
"19.02.2021","67,50","69,03","69,70","67,50","3,77M","-1,65%"
"22.02.2021","67,00","67,00","68,09","66,81","1,36M","-0,74%"
"23.02.2021","64,65","67,30","67,30","64,24","1,59M","-3,51%"
"24.02.2021","65,00","65,00","66,70","64,50","1,29M","0,54%"
"25.02.2021","64,45","65,01","65,65","64,38","1,03M","-0,85%"
"26.02.2021","64,32","64,10","64,43","61,50","1,62M","-0,20%"
"01.03.2021","63,07","65,00","65,35","62,50","1,35M","-1,94%"
"02.03.2021","66,76","63,95","67,46","63,19","3,12M","5,85%"
"03.03.2021","66,46","67,50","68,20","65,02","2,89M","-0,45%"
"04.03.2021","64,74","67,00","67,38","63,69","3,55M","-2,59%"
"05.03.2021","64,00","63,72","64,35","63,46","2,51M","-1,14%"
"08.03.2021","63,54","64,10","65,00","63,03","1,53M","-0,72%"
"09.03.2021","64,50","63,20","65,30","63,03","1,59M","1,51%"
"10.03.2021","65,00","64,90","66,15","64,31","887,58K","0,78%"
"11.03.2021","64,77","65,50","66,20","64,65","883,47K","-0,35%"
"12.03.2021","64,67","65,50","65,50","64,25","1,07M","-0,15%"
"15.03.2021","63,65","64,60","64,96","63,44","1,22M","-1,58%"
"16.03.2021","63,63","64,00","64,79","63,18","877,02K","-0,03%"
"17.03.2021","59,76","60,00","60,30","58,10","18,03M","-6,08%"
"18.03.2021","59,97","60,00","60,69","58,59","6,26M","0,35%"
"19.03.2021","59,64","59,99","60,04","59,43","7,73M","-0,55%"
"22.03.2021","58,80","60,00","60,10","58,50","16,05M","-1,41%"
"23.03.2021","56,80","58,73","59,16","56,30","4,00M","-3,40%"
"24.03.2021","54,50","56,59","56,59","53,41","4,84M","-4,05%"
"25.03.2021","52,86","54,98","55,50","51,96","4,05M","-3,01%"
"26.03.2021","52,75","53,50","53,70","51,90","2,50M","-0,21%"
"29.03.2021","52,66","53,40","54,40","52,05","3,38M","-0,17%"
"30.03.2021","54,57","53,30","54,72","52,80","2,39M","3,63%"
"31.03.2021","55,57","55,00","55,67","53,64","3,80M","1,83%"
"01.04.2021","56,06","56,45","56,70","55,60","3,01M","0,88%"
"06.04.2021","57,50","57,04","57,60","56,60","1,85M","2,57%"
"07.04.2021","56,56","57,35","57,38","55,80","1,65M","-1,63%"
"08.04.2021","56,17","56,90","56,90","55,81","1,03M","-0,69%"
"09.04.2021","58,50","56,44","59,03","56,01","2,19M","4,15%"
"12.04.2021","57,24","58,30","58,40","56,52","958,94K","-2,15%"
"13.04.2021","57,38","57,54","57,89","56,70","853,51K","0,24%"
"14.04.2021","59,25","57,91","59,25","57,71","1,27M","3,26%"
"15.04.2021","58,34","59,25","59,44","57,80","1,01M","-1,54%"
"16.04.2021","57,16","58,00","58,48","57,16","1,11M","-2,02%"
"19.04.2021","56,22","57,15","58,31","55,78","810,23K","-1,64%"
"20.04.2021","55,00","56,24","56,92","54,16","1,30M","-2,17%"
"21.04.2021","54,37","55,00","55,96","54,22","1,25M","-1,15%"
"22.04.2021","56,20","54,90","56,78","54,65","1,46M","3,37%"
"23.04.2021","56,50","56,20","56,68","55,49","1,35M","0,53%"
"26.04.2021","56,60","56,80","57,18","55,91","927,04K","0,18%"
"27.04.2021","56,52","56,79","57,29","56,01","633,13K","-0,14%"
"28.04.2021","57,50","56,76","57,70","56,15","1,30M","1,73%"
"29.04.2021","57,40","57,99","58,45","57,10","982,92K","-0,17%"
"30.04.2021","58,14","57,50","58,34","55,87","1,34M","1,29%"
"04.05.2021","54,08","57,75","57,83","54,08","1,48M","-6,98%"
"05.05.2021","53,01","54,20","54,87","52,88","1,12M","-1,98%"
"06.05.2021","51,62","53,00","53,63","51,23","2,18M","-2,62%"
"07.05.2021","54,86","51,11","54,98","50,90","1,43M","6,28%"
"10.05.2021","53,17","55,04","55,47","52,50","968,19K","-3,08%"
"11.05.2021","51,80","53,00","53,25","51,74","1,12M","-2,58%"
"12.05.2021","52,34","51,90","52,93","51,85","1,48M","1,04%"
"13.05.2021","51,23","54,40","55,86","51,12","4,04M","-2,12%"
"14.05.2021","52,40","52,00","52,40","49,10","2,25M","2,28%"
"17.05.2021","55,61","53,00","55,98","52,80","2,80M","6,13%"
"18.05.2021","57,00","55,74","58,75","55,71","3,94M","2,50%"
"19.05.2021","57,20","57,50","57,70","56,45","3,57M","0,35%"
"20.05.2021","57,21","57,50","57,70","56,55","1,10M","0,02%"
"21.05.2021","57,46","57,75","57,75","56,67","1,89M","0,44%"
"24.05.2021","56,90","57,46","57,50","56,80","527,24K","-0,97%"
"25.05.2021","58,40","56,94","58,90","56,94","1,02M","2,64%"
"26.05.2021","58,40","58,71","58,74","57,33","609,81K","0,00%"
"27.05.2021","58,28","58,15","58,85","57,51","2,32M","-0,21%"
"28.05.2021","58,50","58,50","58,83","57,60","1,48M","0,38%"
"31.05.2021","57,66","58,70","58,82","57,28","487,81K","-1,44%"
"01.06.2021","59,21","58,90","59,96","57,89","1,18M","2,69%"
"02.06.2021","59,18","59,40","59,74","59,00","886,59K","-0,05%"
"04.06.2021","58,77","59,00","59,26","57,50","964,78K","-0,69%"
"07.06.2021","59,05","58,40","59,44","58,25","893,62K","0,48%"
"08.06.2021","59,25","59,02","61,18","58,27","1,95M","0,34%"
"09.06.2021","59,64","59,50","60,23","58,88","1,52M","0,66%"
"10.06.2021","58,40","60,00","60,20","58,10","1,91M","-2,08%"
"11.06.2021","58,30","58,67","58,86","58,02","610,15K","-0,17%"
"14.06.2021","58,48","58,54","59,17","58,02","182,61K","0,31%"
"15.06.2021","58,78","59,00","60,07","58,56","","0,51%"
"16.06.2021","59,81","57,87","59,95","57,87","","1,75%"
"17.06.2021","59,09","59,80","61,02","58,52","","-1,20%"
"18.06.2021","59,99","59,20","60,48","58,81","","1,52%"
"21.06.2021","59,42","60,02","60,12","58,76","","-0,95%"
"22.06.2021","58,25","59,41","59,53","57,10","","-1,97%"
"23.06.2021","60,26","59,13","60,28","58,55","","3,45%"
"24.06.2021","62,51","60,43","63,08","60,24","","3,73%"
"25.06.2021","64,20","62,59","64,47","62,33","","2,70%"
"28.06.2021","63,88","64,20","64,21","62,30","","-0,50%"
"29.06.2021","65,46","63,80","65,84","63,57","","2,47%"
"30.06.2021","65,64","65,90","67,28","65,15","","0,27%"
"01.07.2021","67,29","65,80","68,33","64,59","","2,51%"
"02.07.2021","67,68","67,25","68,94","66,08","","0,58%"
"05.07.2021","69,06","67,70","69,55","67,64","","2,04%"
"06.07.2021","69,92","69,25","69,92","69,00","","1,25%"
"07.07.2021","73,39","70,06","75,89","70,06","","4,96%"
"08.07.2021","71,82","73,11","74,23","71,39","","-2,14%"
