"Data","Zamkniecie","Otwarcie","Max.","Min.","Wol.","Zmiana%"
"16.01.2020","104,90","103,70","104,94","103,60","5,08M","1,04%"
"17.01.2020","106,58","104,90","106,78","104,78","7,56M","1,60%"
"20.01.2020","106,90","106,50","107,52","106,20","4,03M","0,30%"
"21.01.2020","108,36","106,96","108,36","106,78","5,40M","1,37%"
"22.01.2020","108,78","108,94","109,38","108,56","5,65M","0,39%"
"23.01.2020","108,34","109,00","109,08","107,88","5,14M","-0,40%"
"24.01.2020","108,90","107,88","109,28","107,88","4,55M","0,52%"
"27.01.2020","107,92","107,90","108,56","107,32","4,50M","-0,90%"
"28.01.2020","108,62","108,10","108,70","107,58","4,95M","0,65%"
"29.01.2020","108,86","108,40","109,12","108,28","4,89M","0,22%"
"30.01.2020","107,72","108,44","108,62","107,34","3,96M","-1,05%"
"31.01.2020","106,38","108,30","108,32","106,24","6,09M","-1,24%"
"03.02.2020","106,98","106,58","107,50","106,46","3,36M","0,56%"
"04.02.2020","108,14","107,28","108,38","107,16","4,77M","1,08%"
"05.02.2020","109,00","107,60","109,04","107,50","5,53M","0,80%"
"06.02.2020","109,10","109,30","109,62","108,74","5,21M","0,09%"
"07.02.2020","109,00","109,10","109,50","108,50","3,92M","-0,09%"
"10.02.2020","109,26","109,00","109,32","108,46","3,00M","0,24%"
"11.02.2020","108,44","109,46","109,46","108,44","4,12M","-0,75%"
"12.02.2020","107,08","108,10","108,66","106,90","6,11M","-1,25%"
"13.02.2020","104,70","105,50","105,80","103,68","11,77M","-2,22%"
"14.02.2020","107,56","105,30","107,80","104,76","7,45M","2,73%"
"17.02.2020","107,86","108,00","108,78","107,60","5,06M","0,28%"
"18.02.2020","107,76","107,46","108,20","107,32","4,31M","-0,09%"
"19.02.2020","109,46","107,80","109,46","107,50","5,43M","1,58%"
"20.02.2020","109,36","109,32","110,20","108,92","5,70M","-0,09%"
"21.02.2020","109,02","109,56","109,86","108,38","6,99M","-0,31%"
"24.02.2020","105,84","107,02","107,34","105,14","8,58M","-2,92%"
"25.02.2020","104,78","105,64","106,56","104,64","7,32M","-1,00%"
"26.02.2020","104,70","104,08","105,24","102,42","11,27M","-0,08%"
"27.02.2020","101,76","102,90","104,26","101,24","12,35M","-2,81%"
"28.02.2020","98,85","99,82","100,60","97,65","19,43M","-2,86%"
"02.03.2020","100,54","101,00","102,54","99,25","15,20M","1,71%"
"03.03.2020","103,42","102,48","105,04","102,24","11,65M","2,86%"
"04.03.2020","106,02","103,32","106,58","103,28","8,59M","2,51%"
"05.03.2020","105,48","107,00","107,00","104,36","8,51M","-0,51%"
"06.03.2020","101,14","103,10","104,54","100,62","10,44M","-4,11%"
"09.03.2020","97,96","96,50","100,16","96,48","16,03M","-3,14%"
"10.03.2020","96,82","98,30","100,70","95,98","15,65M","-1,16%"
"11.03.2020","96,13","97,51","98,77","96,03","13,57M","-0,71%"
"12.03.2020","90,13","93,00","94,00","88,37","27,96M","-6,24%"
"13.03.2020","90,00","90,10","95,91","88,33","24,88M","-0,14%"
"16.03.2020","90,00","86,91","90,00","83,37","19,92M","0,00%"
"17.03.2020","93,83","93,63","95,70","88,11","16,31M","4,26%"
"18.03.2020","94,23","91,84","97,58","89,88","20,89M","0,43%"
"19.03.2020","99,80","96,80","99,80","96,18","21,47M","5,91%"
"20.03.2020","97,98","101,22","101,86","96,02","26,47M","-1,82%"
"23.03.2020","91,98","93,65","97,51","91,98","12,23M","-6,12%"
"24.03.2020","94,21","93,19","95,75","92,78","11,60M","2,42%"
"25.03.2020","96,61","94,89","96,75","93,96","12,29M","2,55%"
"26.03.2020","98,70","95,33","98,70","94,37","11,05M","2,16%"
"27.03.2020","97,44","97,05","98,34","95,79","9,68M","-1,28%"
"30.03.2020","99,80","98,23","99,80","95,51","8,30M","2,42%"
"31.03.2020","99,45","100,24","100,92","98,63","10,51M","-0,35%"
"01.04.2020","99,84","97,36","100,50","97,00","7,22M","0,39%"
"02.04.2020","101,08","100,46","101,38","99,17","6,69M","1,24%"
"03.04.2020","102,36","101,86","103,10","100,70","6,08M","1,27%"
"06.04.2020","103,96","103,74","104,94","102,96","5,98M","1,56%"
"07.04.2020","103,90","105,00","105,14","102,88","8,44M","-0,06%"
"08.04.2020","104,20","102,64","104,20","102,18","6,54M","0,29%"
"09.04.2020","102,22","104,50","104,50","101,38","7,28M","-1,90%"
"14.04.2020","103,46","103,22","104,36","102,80","7,25M","1,21%"
"15.04.2020","103,28","103,58","104,68","103,26","7,44M","-0,17%"
"16.04.2020","104,58","103,62","105,22","103,22","8,15M","1,26%"
"17.04.2020","106,04","106,00","106,28","105,04","13,83M","1,40%"
"20.04.2020","108,36","106,10","108,36","105,80","6,42M","2,19%"
"21.04.2020","104,70","107,76","108,68","104,70","7,92M","-3,38%"
"22.04.2020","106,20","105,50","106,86","105,08","5,83M","1,43%"
"23.04.2020","104,70","106,00","106,20","104,36","7,65M","-1,41%"
"24.04.2020","106,56","106,80","108,28","105,70","10,74M","1,78%"
"27.04.2020","104,20","104,76","105,38","103,38","10,79M","-2,21%"
"28.04.2020","104,10","104,30","104,98","103,42","8,46M","-0,10%"
"29.04.2020","102,98","104,10","104,48","102,56","5,75M","-1,08%"
"30.04.2020","101,90","103,24","104,10","101,90","15,25M","-1,05%"
"04.05.2020","99,81","101,00","101,58","99,81","11,32M","-2,05%"
"05.05.2020","101,82","100,60","101,82","99,84","6,23M","2,01%"
"06.05.2020","102,78","101,82","103,22","101,62","7,50M","0,94%"
"07.05.2020","103,78","103,20","104,36","102,84","6,64M","0,97%"
"08.05.2020","105,00","104,00","105,30","103,98","3,55M","1,18%"
"11.05.2020","105,58","105,14","105,90","104,78","4,31M","0,55%"
"12.05.2020","106,18","105,58","106,18","105,46","5,22M","0,57%"
"13.05.2020","105,36","105,20","105,64","105,02","6,42M","-0,77%"
"14.05.2020","103,14","104,50","105,42","102,88","6,58M","-2,11%"
"15.05.2020","103,88","103,80","104,70","103,32","7,14M","0,72%"
"18.05.2020","105,08","104,66","105,30","104,06","4,83M","1,16%"
"19.05.2020","105,44","105,30","105,46","104,28","4,82M","0,34%"
"20.05.2020","104,92","104,80","105,88","103,94","5,07M","-0,49%"
"22.05.2020","102,96","103,50","103,88","101,68","7,81M","-1,87%"
"25.05.2020","103,82","103,26","104,08","102,70","3,48M","0,84%"
"26.05.2020","102,58","104,60","104,60","102,32","5,93M","-1,19%"
"27.05.2020","101,32","102,64","102,82","101,04","8,27M","-1,23%"
"28.05.2020","102,84","101,54","103,42","101,26","7,87M","1,50%"
"29.05.2020","103,86","102,92","103,96","102,26","9,85M","0,99%"
"02.06.2020","102,92","104,42","104,80","102,92","6,56M","-0,91%"
"03.06.2020","103,86","103,40","104,10","102,62","6,21M","0,91%"
"04.06.2020","102,76","103,02","104,62","102,56","7,06M","-1,06%"
"05.06.2020","102,60","102,76","103,02","102,00","5,60M","-0,16%"
"08.06.2020","103,54","102,16","104,00","101,86","5,91M","0,92%"
"09.06.2020","105,36","103,50","105,82","103,36","7,39M","1,76%"
"10.06.2020","105,26","105,40","106,10","104,84","6,38M","-0,09%"
"11.06.2020","103,50","104,56","105,20","103,40","5,32M","-1,67%"
"12.06.2020","102,80","103,94","103,96","102,70","5,52M","-0,68%"
"15.06.2020","103,14","102,40","103,70","101,70","4,59M","0,33%"
"16.06.2020","104,62","104,38","105,04","103,56","5,51M","1,43%"
"17.06.2020","107,92","104,76","107,92","104,58","7,86M","3,15%"
"18.06.2020","106,84","107,70","107,88","106,68","6,62M","-1,00%"
"19.06.2020","107,50","107,90","108,42","107,00","16,12M","0,62%"
"22.06.2020","106,58","106,52","107,76","106,52","3,91M","-0,86%"
"23.06.2020","106,50","106,70","106,70","105,82","5,04M","-0,08%"
"24.06.2020","104,78","105,82","105,94","104,78","6,96M","-1,62%"
"25.06.2020","105,24","104,50","105,38","104,02","4,94M","0,44%"
"26.06.2020","105,04","105,50","106,22","104,90","3,81M","-0,19%"
"29.06.2020","104,92","104,72","105,36","104,60","4,66M","-0,11%"
"30.06.2020","104,74","104,80","105,38","104,52","4,91M","-0,17%"
"01.07.2020","105,26","104,50","105,72","104,26","4,17M","0,50%"
"02.07.2020","105,76","105,64","106,00","104,92","3,59M","0,48%"
"03.07.2020","105,12","105,74","106,34","104,96","2,46M","-0,61%"
"06.07.2020","105,98","105,80","105,98","105,22","2,77M","0,82%"
"07.07.2020","105,26","106,00","106,24","104,92","3,25M","-0,68%"
"08.07.2020","105,98","105,00","106,28","104,90","3,72M","0,68%"
"09.07.2020","105,58","105,98","106,30","105,18","3,29M","-0,38%"
"10.07.2020","107,16","105,30","107,40","105,30","4,49M","1,50%"
"13.07.2020","107,50","107,50","107,82","106,90","3,32M","0,32%"
"14.07.2020","106,84","106,72","107,24","105,92","4,06M","-0,61%"
"15.07.2020","108,86","107,50","109,44","107,00","5,07M","1,89%"
"16.07.2020","108,46","108,00","108,46","106,90","4,41M","-0,37%"
"17.07.2020","108,74","108,32","109,04","108,16","3,62M","0,26%"
"20.07.2020","108,56","108,60","108,66","107,64","3,10M","-0,17%"
"21.07.2020","108,36","108,98","109,30","108,08","3,33M","-0,18%"
"22.07.2020","109,44","108,28","109,56","107,68","4,03M","1,00%"
"23.07.2020","111,28","110,42","112,12","110,06","5,72M","1,68%"
"24.07.2020","109,48","110,14","110,38","109,20","3,84M","-1,62%"
"27.07.2020","110,48","109,06","111,00","109,02","4,28M","0,91%"
"28.07.2020","110,64","110,42","111,02","109,82","3,36M","0,14%"
"29.07.2020","110,68","110,68","111,36","110,48","3,38M","0,04%"
"30.07.2020","109,92","111,48","112,62","108,00","6,22M","-0,69%"
"31.07.2020","108,10","109,52","109,82","107,60","6,28M","-1,66%"
"03.08.2020","109,32","108,10","110,02","107,44","4,86M","1,13%"
"04.08.2020","109,16","109,30","109,38","107,82","3,61M","-0,15%"
"05.08.2020","107,82","109,32","109,84","107,82","3,55M","-1,23%"
"06.08.2020","107,40","107,40","107,74","106,94","3,93M","-0,39%"
"07.08.2020","107,68","107,34","108,54","107,20","3,22M","0,26%"
"10.08.2020","107,90","107,68","108,46","107,18","3,01M","0,20%"
"11.08.2020","108,08","108,10","109,28","107,84","3,09M","0,17%"
"12.08.2020","109,02","107,90","109,16","107,66","3,24M","0,87%"
"13.08.2020","109,08","108,70","109,46","108,70","2,51M","0,06%"
"14.08.2020","108,70","108,76","109,10","107,68","2,92M","-0,35%"
"17.08.2020","109,18","108,90","109,18","108,28","2,47M","0,44%"
"18.08.2020","108,98","109,10","109,80","108,78","2,78M","-0,18%"
"19.08.2020","110,86","109,18","111,02","108,88","3,41M","1,73%"
"20.08.2020","109,98","110,46","110,72","109,72","2,90M","-0,79%"
"21.08.2020","110,00","109,98","110,20","109,40","3,35M","0,02%"
"24.08.2020","110,74","110,28","110,92","110,28","3,11M","0,67%"
"25.08.2020","109,72","110,34","111,18","109,72","4,02M","-0,92%"
"26.08.2020","110,56","109,90","110,58","109,46","3,32M","0,77%"
"27.08.2020","110,18","110,70","111,06","110,18","2,68M","-0,34%"
"28.08.2020","108,86","110,02","110,34","108,46","3,74M","-1,20%"
"31.08.2020","108,56","109,18","109,94","108,56","4,81M","-0,28%"
"01.09.2020","108,64","109,04","109,66","108,42","4,39M","0,07%"
"02.09.2020","110,04","109,00","110,64","108,82","4,77M","1,29%"
"03.09.2020","109,34","110,36","111,36","109,20","4,86M","-0,64%"
"04.09.2020","108,32","108,58","109,92","107,72","5,98M","-0,93%"
"07.09.2020","108,72","108,44","109,22","108,18","3,28M","0,37%"
"08.09.2020","108,26","109,10","109,28","107,62","5,12M","-0,42%"
"09.09.2020","110,02","108,48","110,66","108,48","4,14M","1,63%"
"10.09.2020","109,68","109,76","110,86","109,40","4,15M","-0,31%"
"11.09.2020","109,98","109,50","110,44","109,50","3,28M","0,27%"
"14.09.2020","109,70","110,26","110,64","109,20","2,94M","-0,25%"
"15.09.2020","109,64","109,44","110,28","109,08","4,21M","-0,05%"
"16.09.2020","110,26","109,24","110,26","109,16","6,38M","0,57%"
"17.09.2020","109,40","109,34","109,84","109,14","5,00M","-0,78%"
"18.09.2020","108,42","109,40","109,70","108,42","15,17M","-0,90%"
"21.09.2020","108,42","108,00","109,14","107,56","6,25M","0,00%"
"22.09.2020","109,20","108,48","109,20","108,18","4,90M","0,72%"
"23.09.2020","109,06","109,32","110,16","109,06","3,87M","-0,13%"
"24.09.2020","108,22","108,40","109,10","108,20","4,63M","-0,77%"
"25.09.2020","109,76","109,00","110,64","108,72","5,48M","1,42%"
"28.09.2020","109,88","110,00","110,48","109,26","4,98M","0,11%"
"29.09.2020","109,70","109,80","110,22","109,32","3,46M","-0,16%"
"30.09.2020","109,34","109,50","110,54","109,34","5,21M","-0,33%"
"01.10.2020","110,14","109,90","110,82","109,40","3,91M","0,73%"
"02.10.2020","110,34","109,50","110,68","109,24","3,37M","0,18%"
"05.10.2020","109,80","110,60","110,84","109,56","3,24M","-0,49%"
"06.10.2020","108,18","109,64","109,78","107,96","5,85M","-1,48%"
"07.10.2020","107,70","108,00","108,88","107,70","4,03M","-0,44%"
"08.10.2020","108,26","107,92","108,58","107,66","3,77M","0,52%"
"09.10.2020","108,66","108,34","108,72","108,02","3,59M","0,37%"
"12.10.2020","109,50","108,66","109,70","108,22","3,60M","0,77%"
"13.10.2020","109,60","109,66","110,24","109,22","4,89M","0,09%"
"14.10.2020","108,58","110,00","110,28","108,08","5,89M","-0,93%"
"15.10.2020","107,00","107,98","107,98","106,64","5,78M","-1,46%"
"16.10.2020","107,86","107,62","108,28","107,52","4,93M","0,80%"
"19.10.2020","107,28","108,10","108,88","107,22","3,01M","-0,54%"
"20.10.2020","107,42","106,96","107,74","106,78","3,47M","0,13%"
"21.10.2020","106,54","109,00","109,50","106,54","5,86M","-0,82%"
"22.10.2020","106,32","106,36","106,82","105,42","4,65M","-0,21%"
"23.10.2020","106,56","106,42","106,78","105,84","4,73M","0,23%"
"26.10.2020","106,78","106,00","106,96","106,00","4,75M","0,21%"
"27.10.2020","105,90","106,56","106,74","105,58","4,65M","-0,82%"
"28.10.2020","103,46","105,20","105,76","103,00","6,32M","-2,30%"
"29.10.2020","103,10","103,80","104,48","102,64","5,75M","-0,35%"
"30.10.2020","103,10","102,50","103,10","101,96","7,03M","0,00%"
"02.11.2020","104,50","103,00","104,80","102,50","4,93M","1,36%"
"03.11.2020","106,46","104,80","106,50","104,02","4,51M","1,88%"
"04.11.2020","108,46","105,90","108,72","105,82","5,09M","1,88%"
"05.11.2020","107,16","108,46","108,80","106,78","5,15M","-1,20%"
"06.11.2020","106,50","106,90","106,98","105,78","4,01M","-0,62%"
"09.11.2020","105,46","107,30","108,94","104,90","9,21M","-0,98%"
"10.11.2020","104,46","104,56","105,96","103,38","10,35M","-0,95%"
"11.11.2020","106,30","103,96","106,96","103,96","6,38M","1,76%"
"12.11.2020","106,06","105,50","106,96","105,38","5,44M","-0,23%"
"13.11.2020","106,06","106,02","106,38","105,60","4,19M","0,00%"
"16.11.2020","105,08","106,32","106,34","104,92","5,06M","-0,92%"
"17.11.2020","105,52","105,18","106,08","104,88","5,01M","0,42%"
"18.11.2020","104,96","105,18","105,98","104,76","5,53M","-0,53%"
"19.11.2020","104,12","104,16","105,16","104,12","5,39M","-0,80%"
"20.11.2020","103,68","104,20","104,40","103,64","5,65M","-0,42%"
"23.11.2020","101,46","103,56","104,00","101,46","7,66M","-2,14%"
"24.11.2020","101,78","102,00","102,26","101,28","7,09M","0,32%"
"25.11.2020","101,94","101,80","102,22","101,30","6,50M","0,16%"
"26.11.2020","102,38","102,16","102,96","101,90","4,49M","0,43%"
"27.11.2020","102,30","102,38","102,72","101,70","5,01M","-0,08%"
"30.11.2020","101,18","102,24","102,60","101,18","15,48M","-1,09%"
